Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Netminder,Agriculture & Food,"Advanced Materials,Agriculture & Food,Aquaculture,Coatings,Hardware,Livestock,Livestock Types",Developer of a grime-resistant coating for aquaculture applications,United States,North America,2014/05/06,2Q14,"$150,000",Seed,"$150,000",No,Ben Franklin Technology Partners,,,,,,,,,,,,
Indoor Harvest,Agriculture & Food,"Aeroponics,Agriculture & Food,Crops,Hardware,Indoor Cultivation Systems,Vertical Farming",Developer of aeroponic growing systems for small scale commercial vertical farming,United States,North America,2014/08/06,3Q14,"$142,500",Series A,"$514,300",No,,,,,,,,,,,,,
Relivit,Recycling & Waste,"Hardware,Plastics,Recycling,Recycling & Waste,Reprocessing,Reprocessing Technologies,Residential Waste,Textiles,Waste Disposal",recycler of disposable diapers and continence products,Australia,Asia Pacific,2014/04/01,2Q14,"$137,629",Series A,"$1,803,513",No,various,,,,,,,,,,,,
SPARQ Systems,Solar,"Balance of Systems,Downstream PV,Hardware,Inverters,Micro Inverters,Photovoltaics (PV),Solar",Developer of the lowest cost & highest reliability photovoltaic microinverters,Canada,North America,2014/12/15,4Q14,"$11,000,000",Series B,"$13,750,000",No,ArcTern Ventures,,,,,,,,,,,,
Dominovas Energy,Fuel Cells & Hydrogen,"Fuel Cells,Fuel Cells & Hydrogen,Hardware,Solid Oxide Fuel Cells",Developer of solide oxide fuel cells and related technologies,United States,North America,2014/04/15,2Q14,"$131,800",Seed,"$131,800",No,,,,,,,,,,,,,
HoneyComb,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Software,UAV",Developer of a drone for farming as well as related software,United States,North America,2014/03/24,1Q14,"$125,000",Seed,"$495,000",No,,,,,,,,,,,,,
ZERCUP Electric Racing World Championship,Transportation,"Cleanweb,Transportation",Promoter of electric race cars featuring major automakers for F-1 class race venues,United States,North America,2014/03/28,1Q14,"$125,000",Series A,"$150,000",No,,,,,,,,,,,,,
Stevia First,Agriculture & Food,Agriculture & Food,US-based producer and importer of stevia,United States,North America,2014/10/03,4Q14,"$1,500,000",Series A,"$1,500,000",No,,,,,,,,,,,,,
StoreDot,Advanced Materials,"Advanced Materials,Hardware","Developer of multifunctional nanodots capable of enhancing data and energy storage, LCD displays, and biomedical technology",Israel,Europe & Israel,2014/10/01,4Q14,"$32,000,000",Series B,"$48,000,000",No,,,,,,,,,,,,,
Refresh,Energy Efficiency,"Energy Efficiency,Hardware,Recycling & Waste,Water & Wastewater",Designer of efficient beverage vending machines,United States,North America,2014/01/23,1Q14,"$118,000",Seed,"$138,000",No,TechStars,,,,,,,,,,,,
Spor,Solar,"Hardware,Solar",Manufacturer of portable solar chargers for electronic devices,United States,North America,2014/06/30,2Q14,"$112,408",Seed,"$312,408",No,Kickstarter,,,,,,,,,,,,
Verigo,Agriculture & Food,"Agriculture & Food,Food Transportation,Hardware,Supply Chain Tracking",Developer of wireless sensor tags for the monitoring of perishable goods,United States,North America,2014/06/05,2Q14,"$107,500",Seed,"$157,500",No,Florida Technology Seed Fund,,,,,,,,,,,,
QwikSense,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Hardware,Smart Buildings,Software",Tech startup that creates actionable metrics and analytics that enable an organization to improve quality and energy efficiency of the work environment,Netherlands,Europe & Israel,2014/04/03,2Q14,"$102,720",Seed,"$102,720",No,Rockstart Accelerator,,,,,,,,,,,,
Bundles,Energy Efficiency,"Energy Efficiency,Hardware",Provider of household appliances in a subscription model,Netherlands,Europe & Israel,2014/03/30,1Q14,"$102,672",Seed,"$130,051",No,Smart Energy Amsterdam 1 BV (Rockstart),,,,,,,,,,,,
Agralogics,Agriculture & Food,"Agriculture & Food,Agriculture Software,Cleanweb,Crops,Software",Provider of big data solutions for precision agriculture,United States,North America,2014/01/13,1Q14,"$100,000",Seed,"$330,000",No,,,,,,,,,,,,,
Atmocean,Hydro & Marine Power,"Hardware,Hydro & Marine Power,Wave Power",,United States,North America,2014/08/15,3Q14,"$100,000",Seed,"$382,000",No,,,,,,,,,,,,,
Blueshift International Materials,Advanced Materials,"Advanced Materials,Aerospace,Electronics,Flexible Electronics,Green Building & Construction,Hardware,Motor Vehicles,Semiconductors,Transportation","Maker of advanced materials for extreme lightweight insulation for electronics, automotive & aerospace, oil & gas and green building materials",United States,North America,2014/04/25,2Q14,"$100,000",Seed,"$100,000",No,,,,,,,,,,,,,
Stratoscale,Energy Efficiency,"Cleanweb,Cloud Computing,Data Center Infrastructure Management,Energy Efficiency,Green IT,Software,Virtualization",Developer of virtualization technology to dramatically improve the performance and efficiency of large data centers,Israel,Europe & Israel,2014/11/05,4Q14,"$32,000,000",Series B,"$42,000,000",Yes,Intel Capital,SanDisk Ventures,Cisco Systems,,,,,,,,,,
Edenworks,Agriculture & Food,"Agriculture & Food,Aquaponics,Crops,Hardware,Indoor Cultivation Systems",Developer of aquaponic urban food growing systems,United States,North America,2014/06/18,2Q14,"$100,000",Seed,"$100,000",No,FOUNDER.org,,,,,,,,,,,,
Effortless Energy,Energy Efficiency,"Energy Efficiency,Energy Services,Financing,Services,Smart Buildings,Software",Provider of free home efficiency upgrades,United States,North America,2014/01/06,1Q14,"$100,000",Seed,"$125,000",No,Energy Excelerator,,,,,,,,,,,,
Flash Rockwell Technologies,Energy Efficiency,"Energy Efficiency,Hardware,Industrial Efficiency",Developer of patented and patent pending technologies addressing cleaner and more efficient ways of drying materials,United States,North America,2014/02/03,1Q14,"$100,000",Seed,"$690,000",No,Bill Cooksey,,,,,,,,,,,,
Safe-h2o,Water & Wastewater,"Contaminant Detection,Hardware,Water & Wastewater","Provider of rapid, portable water testing products for cost effective detection of waterborne pathogens to protect human health",United States,North America,2014/02/10,1Q14,"$100,000",Seed,"$150,000",No,Keiretsu Forum,,,,,,,,,,,,
TerrAvion,Agriculture & Food,"Agriculture & Food,Crops,Imaging,Precision Agriculture,Services",Provider of aerial imagery services,United States,North America,2014/03/31,1Q14,"$97,000",Series A,"$587,000",No,Y Combinator,,,,,,,,,,,,
Columbus Photovoltaics,Solar,"Conventional PV,Hardware,Midstream PV,PV Cells / Modules,Photovoltaics (PV),Solar",Developer of wide-band gap photovoltaic technology for improved solar cell efficiency,United States,North America,2014/03/17,1Q14,"$90,000",Seed,"$90,000",No,,,,,,,,,,,,,
Indoor Harvest,Agriculture & Food,"Aeroponics,Agriculture & Food,Crops,Hardware,Indoor Cultivation Systems,Vertical Farming",Developer of aeroponic growing systems for small scale commercial vertical farming,United States,North America,2014/02/14,1Q14,"$82,500",Seed,"$514,300",No,,,,,,,,,,,,,
PulsedLight,Other Cleantech,"Hardware,Other Cleantech",Developer of compact optical distance measurement sensors,United States,North America,2014/03/31,1Q14,"$82,000",Seed,"$357,000",No,Dragon Innovation,,,,,,,,,,,,
Gas Plume Imaging,Air,"Air,Conventional Fuels,Hardware,Software","GPI offers an air quality monitoring service, installing drop&forget remotely monitored sensors operated by a central analysis site, sending to customers real-time web-based access to estimates of gas concentration level and flux over specific areas.",United States,North America,2014/02/01,1Q14,"$81,000",Seed,"$421,000",No,,,,,,,,,,,,,
Agralogics,Agriculture & Food,"Agriculture & Food,Agriculture Software,Cleanweb,Crops,Software",Provider of big data solutions for precision agriculture,United States,North America,2014/01/30,1Q14,"$80,000",Seed,"$330,000",No,,,,,,,,,,,,,
Airfy,Other Cleantech,"Hardware,Other Cleantech,Software",provider of smart home hardware & software,Germany,Europe & Israel,2014/01/29,1Q14,"$78,333",Seed,"$117,500",No,Indiegogo,,,,,,,,,,,,
Bandwagon,Transportation,"Cleanweb,Congestion Monitoring,Fleet Tracking,Logistics Provider,Software,Traffic Monitoring,Transportation,Transportation Software","Provider of group transportation optimization services for colleges, employers, municipalities and events by easing ride sharing and smart line management; formerly known as Weeels",United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
Edisun Heliostats,Solar,"Concentrating Solar Power (CSP),Hardware,Solar,Solar Power Tower,Solar Thermal",Developer of heliostat technology for solar thermal power applications,United States,North America,2014/09/16,3Q14,"$75,000",Series A,"$4,175,000",No,Energy Excelerator,,,,,,,,,,,,
Go Electric,Smart Grid,"Grid Security,Hardware,Power Grid,Smart Grid",Developer of micro-grid and energy resiliency solutions ,United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
Sulas Industries,Solar,"Solar,Solar Tracking Systems",Developer of solar PV tracking technology,United States,North America,2014/10/02,4Q14,,Seed,,No,,,,,,,,,,,,,
Indoor Harvest,Agriculture & Food,"Aeroponics,Agriculture & Food,Crops,Hardware,Indoor Cultivation Systems,Vertical Farming",Developer of aeroponic growing systems for small scale commercial vertical farming,United States,North America,2014/02/05,1Q14,"$75,000",Seed,"$514,300",No,,,,,,,,,,,,,
Oxymem,Water & Wastewater,"Hardware,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Manufacturer of the Membrane Aerated Biofilm Reactor (MABR), a technology based on bubble-less wastewater aeration system",Ireland,Europe & Israel,2014/05/09,2Q14,"$75,000",Seed,"$1,811,000",No,Founder,,,,,,,,,,,,
Prota Culture,Agriculture & Food,"Agriculture & Food,Biofuels & Biochemicals,Industrial Biotech,Protein Replacements",Developer of bio-conversion processes using insects,United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
Rebound Technologies,Energy Efficiency,"Energy Efficiency,Hardware",Developer of highly-efficient refrigeration technologies,United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
Spider9,Energy Storage,"Energy Storage,Energy Storage System Management / Optimization,Services,Software",Developer of technology to optimize cell-level performance of battery energy storage and solar PV arrays,United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
TransitScreen,Transportation,"Logistics Provider,Software,Transportation",Developer of an app to aggregate and clearly display public transit options,United States,North America,2014/09/16,3Q14,"$75,000",Seed,"$75,000",No,Energy Excelerator,,,,,,,,,,,,
Birdi,Air,"Air,Energy Efficiency,Hardware,Smart Buildings,Smart Home,Software",Developer of residential indoor air quality monitoring solutions,United States,North America,2014/02/08,1Q14,"$73,000",Seed,"$773,000",No,Indiegogo,,,,,,,,,,,,
Six Foods,Agriculture & Food,"Agriculture & Food,Industrial Biotech,Protein Replacements",Developer of nutritious snack products which incorporate sustainable cricket powder,United States,North America,2014/05/23,2Q14,"$70,600",Seed,"$70,600",No,Kickstarter,,,,,,,,,,,,
VAIREX Air Systems,Fuel Cells & Hydrogen,"Air,Fuel Cells,Fuel Cells & Hydrogen,Hardware,Pollution Prevention,Transportation",Maker of cathode air systems for fuel cells in the 1-20 kW range,United States,North America,2014/01/01,1Q14,"$70,000",Seed,"$840,000",No,,,,,,,,,,,,,
Instream Energy Systems,Hydro & Marine Power,"Hardware,Hydro & Marine Power,Run of River Hydro,Small Scale Hydro",Developer of hydrokinetic power generation systems for predictable inland waterways,Canada,North America,2014/07/23,3Q14,"$65,000",Series A,"$3,107,815",No,,,,,,,,,,,,,
Suncrest Farms,Agriculture & Food,"Agriculture & Food,Crops,Hydroponics,Indoor Cultivation Systems,Precision Agriculture",Developer and operator of advanced hydroponics greenhouses,United States,North America,2014/12/18,4Q14,"$240,000",Seed,"$265,000",No,,,,,,,,,,,,,
Agrilab Technologies,Biomass Generation,"Agricultural Waste,Agriculture & Food,Biomass Generation,Crops,Fertilizers,Field Treatments,Recycling & Waste,Technology Supplier,Waste to Energy",Developer of heat capture and transfer technology from the aerobic management and composting of organic materials,United States,North America,2014/09/05,3Q14,"$50,000",Seed,"$50,000",No,,,,,,,,,,,,,
Algaeon,Agriculture & Food,"Agriculture,Agriculture & Food,Algae,Animal Feed & Supplements,Animal Health,Aquaculture,Biofuels & Biochemicals,Cattle,Dairy,Feedstock Producer,Industrial Biotech,Livestock,Livestock Types,Oils,Pigs",Developer of algae-based animal feed and nutraceuticals,United States,North America,2014/09/10,3Q14,"$50,000",Growth Equity,"$4,401,062",No,,,,,,,,,,,,,
Benson Hill Biosystems,Agriculture & Food,"Agriculture & Food,Crops,Industrial Biotech,Plant Genomics,Precision Agriculture",Developer of biotechnology solutions to increase crop yields,United States,North America,2014/08/14,3Q14,"$50,000",Seed,"$500,000",No,iSelect,,,,,,,,,,,,
Nano Gas Technologies,Water & Wastewater,"Aeration,Agriculture & Food,Air,Filtration / Separation / Purification,Hardware,Industrial Water,Municipal/Utility Water,Oil & Gas,Services,Water & Wastewater",Provider of services that create nano bubbles which separate oil and clean up produced water,United States,North America,2014/01/15,1Q14,"$50,000",Series A,"$172,000",No,Moran Capital Partners,,,,,,,,,,,,
Safe-h2o,Water & Wastewater,"Contaminant Detection,Hardware,Water & Wastewater","Provider of rapid, portable water testing products for cost effective detection of waterborne pathogens to protect human health",United States,North America,2014/05/16,2Q14,"$50,000",Seed,"$150,000",No,Keiretsu Forum,,,,,,,,,,,,
VAIREX Air Systems,Fuel Cells & Hydrogen,"Air,Fuel Cells,Fuel Cells & Hydrogen,Hardware,Pollution Prevention,Transportation",Maker of cathode air systems for fuel cells in the 1-20 kW range,United States,North America,2014/01/01,1Q14,"$50,000",Seed,"$840,000",No,,,,,,,,,,,,,
Verigo,Agriculture & Food,"Agriculture & Food,Food Transportation,Hardware,Supply Chain Tracking",Developer of wireless sensor tags for the monitoring of perishable goods,United States,North America,2014/02/10,1Q14,"$50,000",Seed,"$157,500",No,,,,,,,,,,,,,
WindPipe Corporation,Wind,"Hardware,Wind",Developer of a blade-less system to create energy from wind power,United States,North America,2014/04/25,2Q14,"$50,000",Seed,"$50,000",No,,,,,,,,,,,,,
NextPotential,Air,"Air,Anaerobic Digestion,Biochemical Process,Carbon Capture and Sequestration (CCS),Carbon Dioxide (CO2),Conventional Fuels,Gasification,Hardware,Industrial Plants,Oil & Gas,Oil & Gas Production,Recycling & Waste,Sulfur Oxides (SOx),Syngas,Waste to Energy,Wastewater Resource Recovery,Wastewater Treatment,Water & Wastewater",Developer of CO2 capture technology with value-add characteristics for industries including oil & gas and wastewater treatment,United States,North America,2014/01/13,1Q14,"$48,000",Seed,"$48,000",No,,,,,,,,,,,,,
CloudGrid,Energy Efficiency,"Commercial Buildings,Energy Analytics,Energy Disaggregation,Energy Efficiency,Enterprise Energy Management,Internet of Things,Smart Buildings,Smart Home,Software",Developer of cloud-based platform that enables real time analytics and control of any electrical network,Brazil,Central/South America,2014/05/13,2Q14,"$40,000",Seed,"$65,000",No,SEED MG,,,,,,,,,,,,
